help_quest_objective_types,"name","任务目标类型的名称，必须唯一。"
help_quest_objective_types,"desc","详细信息。"
help_event_types,"key","事件类型的标识，必须唯一。"
help_event_types,"name","事件类型的名称，必须唯一。"
help_event_types,"desc","详细信息。"
help_event_trigger_types,"key","事件触发类型的标识，必须唯一。"
help_event_trigger_types,"name","事件触发类型的名称，必须唯一。"
help_event_trigger_types,"desc","详细信息。"
help_quest_dependency_types,"key","任务依赖类型的标识，必须唯一。"
help_quest_dependency_types,"name","任务依赖类型的名称，必须唯一。"
help_quest_dependency_types,"desc","详细信息。"
help_world_rooms,"key","房间的标识，必须在所有数据中保持唯一。"
help_world_rooms,"name","游戏中显示出的房间名称。"
help_world_rooms,"typeclass","房间的类型。"
help_world_rooms,"desc","游戏中显示出的房间描述信息。"
help_world_rooms,"position","房间的位置，格式：(x坐标, y坐标)"
help_world_exits,"key","出口的标识，必须在所有数据中保持唯一。"
help_world_exits,"name","游戏中显示出的出口名称。"
help_world_exits,"typeclass","出口的类型"
help_world_exits,"desc","游戏中显示出的出口描述信息。"
help_world_exits,"verb","走进出口所做动作的名称。"
help_world_exits,"location","出口入口所在的房间。"
help_world_exits,"destination","出口通往的房间。"
help_world_exits,"condition","显示出该出口所需的条件。"
help_exit_locks,"key",""
help_exit_locks,"unlock_condition",""
help_exit_locks,"unlock_verb",""
help_exit_locks,"locked_desc",""
help_exit_locks,"auto_unlock",""
help_world_objects,"key",""
help_world_objects,"name",""
help_world_objects,"typeclass",""
help_world_objects,"desc",""
help_world_objects,"location",""
help_world_objects,"condition",""
help_world_npcs,"key",""
help_world_npcs,"name",""
help_world_npcs,"typeclass",""
help_world_npcs,"desc",""
help_world_npcs,"location",""
help_world_npcs,"model",""
help_world_npcs,"level",""
help_world_npcs,"condition",""
help_object_creators,"key",""
help_object_creators,"loot_verb",""
help_object_creators,"loot_condition",""
help_creator_loot_list,"provider",""
help_creator_loot_list,"object",""
help_creator_loot_list,"number",""
help_creator_loot_list,"odds",""
help_creator_loot_list,"quest",""
help_creator_loot_list,"condition",""
help_character_loot_list,"provider",""
help_character_loot_list,"object",""
help_character_loot_list,"number",""
help_character_loot_list,"odds",""
help_character_loot_list,"quest",""
help_character_loot_list,"condition",""
help_quest_reward_list,"provider",""
help_quest_reward_list,"object",""
help_quest_reward_list,"number",""
help_quest_reward_list,"odds",""
help_quest_reward_list,"quest",""
help_quest_reward_list,"condition",""
help_common_objects,"key",""
help_common_objects,"name",""
help_common_objects,"typeclass",""
help_common_objects,"desc",""
help_common_objects,"max_stack",""
help_common_objects,"unique",""
help_character_models,"key",""
help_character_models,"name",""
help_character_models,"level",""
help_character_models,"max_exp",""
help_character_models,"max_hp",""
help_character_models,"max_mp",""
help_character_models,"attack",""
help_character_models,"defence",""
help_character_models,"give_exp",""
help_common_characters,"key",""
help_common_characters,"name",""
help_common_characters,"typeclass",""
help_common_characters,"desc",""
help_common_characters,"model",""
help_common_characters,"level",""
help_skills,"key",""
help_skills,"name",""
help_skills,"typeclass",""
help_skills,"desc",""
help_skills,"cd",""
help_skills,"passive",""
help_skills,"condition",""
help_skills,"function",""
help_skills,"effect",""
help_default_skills,"character",""
help_default_skills,"skill",""
help_quests,"key",""
help_quests,"name",""
help_quests,"typeclass",""
help_quests,"desc",""
help_quests,"condition",""
help_quests,"action",""
help_npc_dialogues,"npc",""
help_npc_dialogues,"dialogue",""
help_npc_dialogues,"default",""
help_equipments,"position",""
help_equipments,"type",""
help_equipments,"attack",""
help_equipments,"defence",""
help_career_equipments,"career",""
help_career_equipments,"equipment",""
help_quest_objectives,"quest",""
help_quest_objectives,"ordinal",""
help_quest_objectives,"type",""
help_quest_objectives,"object",""
help_quest_objectives,"number",""
help_quest_objectives,"desc",""
help_quest_dependencies,"quest",""
help_quest_dependencies,"dependency",""
help_quest_dependencies,"type",""
help_dialogue_quest_dependencies,"dialogue",""
help_dialogue_quest_dependencies,"dependency",""
help_dialogue_quest_dependencies,"type",""
help_event_data,"key",""
help_event_data,"type",""
help_event_data,"trigger_type",""
help_event_data,"trigger_obj",""
help_event_data,"condition",""
help_event_attacks,"key",""
help_event_attacks,"mob",""
help_event_attacks,"level",""
help_event_attacks,"odds",""
help_event_attacks,"desc",""
help_event_dialogues,"key",""
help_event_dialogues,"dialogue",""
help_event_dialogues,"npc",""
help_dialogues,"key",""
help_dialogues,"name",""
help_dialogues,"condition",""
help_dialogue_relations,"dialogue",""
help_dialogue_relations,"next_dlg",""
help_dialogue_sentences,"dialogue",""
help_dialogue_sentences,"ordinal",""
help_dialogue_sentences,"speaker",""
help_dialogue_sentences,"content",""
help_dialogue_sentences,"action",""
help_dialogue_sentences,"provide_quest",""
help_dialogue_sentences,"complete_quest",""
help_localized_strings,"category",""
help_localized_strings,"origin",""
help_localized_strings,"local",""
